source_id,provider,institution,title,subject_scope,regulation_year,source_url,source_type,local_path,original_filename,file_size_bytes,sha256,collection_timestamp,license_usage_status,approval_status,document_identity,validation_status,notes
RES-DB-002,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/tutorial-start.html,OFFICIAL_DOCUMENTATION,data\dbms\tutorial-start.html,tutorial-start.html,14738,4697099BF9CCD4F6476C48A53E84EF34C2691D4949890AACFD606F2EB02D8710,2026-09-16T08:36:04Z,APPROVED,APPROVED,tutorial-start.html,VALIDATED,
RES-DB-003,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/tutorial-sql.html,OFFICIAL_DOCUMENTATION,data\dbms\tutorial-sql.html,tutorial-sql.html,15255,67A161D7E7DEDB5BBCE21BEFF89FFCBCC6A9EA55524814A40F0D86A2F5084882,2026-09-16T08:36:04Z,APPROVED,APPROVED,tutorial-sql.html,VALIDATED,
RES-DB-004,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/tutorial-advanced.html,OFFICIAL_DOCUMENTATION,data\dbms\tutorial-advanced.html,tutorial-advanced.html,15157,BD858AA50B0CC98B6979250910628DCA25F60D222F77B2F5C1D6473C563923E8,2026-09-16T08:36:04Z,APPROVED,APPROVED,tutorial-advanced.html,VALIDATED,
RES-DB-005,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/sql-syntax.html,OFFICIAL_DOCUMENTATION,data\dbms\sql-syntax.html,sql-syntax.html,18350,EA79019A12BE828E7A98AC45C99A20781D1CF50291E36E862FDF4808B3E40EA7,2026-09-16T08:36:05Z,APPROVED,APPROVED,sql-syntax.html,VALIDATED,
RES-DB-006,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/ddl.html,OFFICIAL_DOCUMENTATION,data\dbms\ddl.html,ddl.html,19851,687347CE9E3250BC6EC30188C1AF35855EA7FCD1C8F1ED968587ABF652BF0188,2026-09-16T08:36:05Z,APPROVED,APPROVED,ddl.html,VALIDATED,
RES-DB-007,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/dml.html,OFFICIAL_DOCUMENTATION,data\dbms\dml.html,dml.html,14574,FCE967FB87A2CCC2B89DF0FB428A1B5BE3CE21DFEC68026DDF6CFFE4C25E75CA,2026-09-16T08:36:05Z,APPROVED,APPROVED,dml.html,VALIDATED,
RES-DB-008,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/queries.html,OFFICIAL_DOCUMENTATION,data\dbms\queries.html,queries.html,17547,8A38CA658C9808F0FBC113CAC69C00183AF753C72A6EF9DDA096F828FD8CB656,2026-09-16T08:36:06Z,APPROVED,APPROVED,queries.html,VALIDATED,
RES-DB-009,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/datatype.html,OFFICIAL_DOCUMENTATION,data\dbms\datatype.html,datatype.html,36494,7A9ADC64B9D6B8682D5FC477EACF6819239DB53192532B40D2596448A88B1C2D,2026-09-16T08:36:06Z,APPROVED,APPROVED,datatype.html,VALIDATED,
RES-DB-010,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/functions.html,OFFICIAL_DOCUMENTATION,data\dbms\functions.html,functions.html,29830,9F28309B7192D5B1089BC0D0EA6B5245C0CC0D456B5E2C0D2E297F8199E6E9A3,2026-09-16T08:36:06Z,APPROVED,APPROVED,functions.html,VALIDATED,
RES-DB-011,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/indexes.html,OFFICIAL_DOCUMENTATION,data\dbms\indexes.html,indexes.html,16338,BF7779EA575F7B87640C2F85714524A44EB2BCA45C47F0436E7E70174EA11C77,2026-09-16T08:36:07Z,APPROVED,APPROVED,indexes.html,VALIDATED,
RES-DB-012,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/mvcc.html,OFFICIAL_DOCUMENTATION,data\dbms\mvcc.html,mvcc.html,17128,3EFB33D205EABEB72058EB376FBD695174FFB2C0044ECA48C6317F4706121A7A,2026-09-16T08:36:07Z,APPROVED,APPROVED,mvcc.html,VALIDATED,
RES-DB-013,PostgreSQL Global Development Group,UNKNOWN,PostgreSQL Tutorial Chapter,Database Management Systems,UNKNOWN,https://www.postgresql.org/docs/current/backup.html,OFFICIAL_DOCUMENTATION,data\dbms\backup.html,backup.html,17392,BB7451C7FB9283B388B3A856852C054863C04A14812899688BEBB6D6F4B6DB02,2026-09-16T08:36:07Z,APPROVED,APPROVED,backup.html,VALIDATED,
